N = 5000, ,	 mu = 2.0,	 nu = 2.0
1,	 [ 0.00000000e+00  1.90993666e+00  4.76358870e+00 ... -1.63905158e+04
 -1.63919685e+04 -1.63910408e+04],	 [   0.           -1.43001432   -3.74489463 ... -361.22722743 -368.58014279
 -371.53572375],	 [0.00000000e+00 4.77191744e-01 1.21209312e+00 ... 2.78737977e+04
 2.78752967e+04 2.78759162e+04],	 [  2.88675928   3.8936727   15.03136088 ...  13.48845246 241.05288272
  15.57195513],	 [3.69533481 5.64050171 5.60165278 ... 5.4051078  4.51733546 5.01651971],	 [ 3.06931698  2.38595872  3.67450688 ... 30.09408729  7.4950416
  3.09774377],	 [0.00000000e+00 2.38595872e+00 6.05937399e+00 ... 1.63944958e+04
 1.63961118e+04 1.63952511e+04]
2,	 [ 0.00000000e+00 -2.52389701e+00 -1.00930142e+01 ... -7.06423528e+03
 -7.06351757e+03 -7.06509239e+03],	 [ 0.00000000e+00 -1.24113794e+00  2.40564088e+00 ... -1.37326665e+04
 -1.37300403e+04 -1.37161577e+04],	 [0.00000000e+00 5.62511493e-01 2.24287491e+00 ... 1.72729607e+04
 1.72735052e+04 1.72762996e+04],	 [2.83136624 2.97574355 2.14739012 ... 2.93759737 3.11471217 5.49539474],	 [2.22059797 3.59862221 2.69261311 ... 0.07946376 1.30401452 1.68375199],	 [ 5.03536977  2.81255747  8.40181708 ...  4.31895136  2.72245901
 13.9716442 ],	 [0.00000000e+00 2.81255747e+00 1.03757430e+01 ... 1.54431068e+04
 1.54404432e+04 1.54288209e+04]
5,	 [  0.          -6.62135204 -10.26873725 ... 961.96750304 964.8596977
 969.04196328],	 [    0.            22.42920944    19.97379171 ... -9539.70462943
 -9541.51169315 -9541.1328849 ],	 [0.00000000e+00 4.67722883e+00 5.55660350e+00 ... 2.28680612e+04
 2.28687432e+04 2.28695831e+04],	 [ 26.74362201 205.03405851  41.91868277 ...   5.42195764   2.08585356
   3.10052093],	 [4.28267116 1.85785388 3.73410433 ... 3.02487184 5.72472473 0.09032842],	 [ 3.65390335 23.38614416  4.39687333 ...  2.26852988  3.41031806
  4.1993858 ],	 [   0.           23.38614416   22.45883612 ... 9588.08353601 9590.17203322
 9590.21684082]
3,	 [ 0.00000000e+00 -4.38452999e-01 -2.76972053e+00 ...  1.37281755e+03
  1.37139506e+03  1.37328404e+03],	 [  0.           3.13390599   3.70935331 ... -12.30611323 -10.24156842
  -9.45078124],	 [0.00000000e+00 6.32885701e-01 1.11313347e+00 ... 1.78318503e+04
 1.78323518e+04 1.78327613e+04],	 [ 2.01618879 11.75355708  2.41270791 ...  9.04878963  2.83813574
  4.24036632],	 [3.02599164 1.70980031 2.89959143 ... 3.18500712 2.17411017 0.39646332],	 [8.77007428 3.16442851 2.40123883 ... 2.38338903 2.50715874 2.04783104],	 [   0.            3.16442851    4.62932541 ... 1372.87271019 1371.43329827
 1373.31656188]
8,	 [ 0.00000000e+00 -1.68347972e+00 -4.35141865e-01 ... -1.91235629e+04
 -1.91269398e+04 -1.91231198e+04],	 [ 0.00000000e+00 -1.87690630e+00 -4.43479210e+00 ...  2.37630214e+04
  2.37628542e+04  2.37600140e+04],	 [0.00000000e+00 5.04257126e-01 1.07350671e+00 ... 1.94117762e+04
 1.94124524e+04 1.94134044e+04],	 [ 2.20576404  3.49896768 41.12037664 ...  2.42708185  6.12312436
  2.57294873],	 [3.00707161 3.98126488 5.16641887 ... 1.28482034 3.19107467 5.6438715 ],	 [5.17136633 2.52128563 2.8462479  ... 3.6226271  3.38105888 4.76021203],	 [0.00000000e+00 2.52128563e+00 4.45608902e+00 ... 3.05023253e+04
 3.05043123e+04 3.04997045e+04]
9,	 [   0.            7.23220009    6.87042691 ... 4742.96333737 4745.08095787
 4744.4991633 ],	 [ 0.00000000e+00  1.21541572e+00 -1.67781127e+00 ... -3.52538671e+03
 -3.53586866e+03 -3.53379292e+03],	 [0.00000000e+00 1.46672361e+00 2.04987512e+00 ... 1.99108801e+04
 1.99130189e+04 1.99134500e+04],	 [ 7.4172105   2.58251229 18.40145692 ...  2.77088652  5.3924413
  8.82130047],	 [1.57247224 0.1665003  4.58799321 ... 4.62339194 4.91173132 1.84406764],	 [ 2.32128271  7.33361804  2.91575757 ... 20.834657   10.69371687
  2.15573045],	 [   0.            7.33361804    7.07232752 ... 5909.65757813 5917.61442556
 5915.9077695 ]
